centro_comercial,zona_nrel
V1_Ambar Fashion Mall Tuxtla,Hot-Humid
V1_Forum Tlaquepaque,Mixed-Humid
V1_La Isla Vallarta,Hot-Humid
V1_Midtown Jalisco,Mixed-Humid
V1_Mitikah,Mixed-Dry
V1_Outlet Lerma,Cold
V1_Pabell¢n Cuemanco,Mixed-Dry
V1_Espacio Aguascalientes,Mixed-Dry
V1_Pabell¢n R¡o de los Remedios,Mixed-Dry
V1_Pabell¢n Salina Cruz,Hot-Humid
V1_Sendero Villahermosa,Hot-Humid
V1_Patio Toluca,Cold
V1_Uptown Merida,Hot-Humid
V1_Alaia Guanajuato,Mixed-Dry
V1_Alaia Tapachula,Hot-Humid
V1_Plaza Central,Mixed-Dry
V1_Samara Satelite,Mixed-Dry
V1_Uptown Juriquilla,Mixed-Dry
V1_Pabell¢n Navojoa,Hot-Dry
